record_id,operational_status,model_partition,provenance_badge,event_label,event_class_desc,disaster_or_scenario_id,sector_id,timestamp,state,district,latitude,longitude,source_authority,source_confidence,observation_scenario_type,geographic_group,event_window,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,API_3d_mm,API_7d_mm,API_30d_mm,rainfall_accumulation_3h_mm,rainfall_intensity_3h_mmh,rainfall_acceleration,soil_moisture_ratio,soil_moisture_trend_24h,pore_pressure_kpa,pore_pressure_trend_24h,tilt_deg,tilt_rate_24h,ground_displacement_mm,displacement_velocity_24h_mmd,elevation_m,slope_deg,aspect_deg,curvature,NDVI,NDVI_change,seismic_magnitude,seismic_distance_km,seismic_trigger_score,seismic_recency_hours,historical_landslide_density,static_susceptibility,road_criticality,population_exposure,geotechnical_fos,composite_risk_index_cri
DEMO-05,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-05,DEMO-SEC-05,2026-09-08T04:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,7.0,20.1,50.13257253458647,80.2,60.2,92.2,128.3,13.6,6.7,0.19,0.213,0.01,4.2,1.4,0.11,0.08,2.2,0.3,442.2,26.4,117.1,0.0076,0.78,0.04,0.0,999.0,0.0,999.0,0.015,0.47,0.75,600.0,1.61,21.6
DEMO-06,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-06,DEMO-SEC-06,2026-09-08T05:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,25.8,73.7,184.31751560008297,294.9,221.2,339.1,471.8,49.8,24.6,1.35,0.523,0.11,24.0,9.5,2.56,1.12,22.0,23.6,805.8,40.1,326.7,-0.0501,0.48,-0.1,0.0,999.0,0.0,999.0,0.015,0.9,0.75,600.0,0.56,85.9
DEMO-07,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-07,DEMO-SEC-07,2026-09-08T06:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,5.8,16.5,41.17124417317753,65.9,49.4,75.8,105.4,11.2,5.5,0.34,0.357,0.0,7.5,1.0,0.14,0.04,2.2,0.1,1649.3,26.5,39.6,-0.0526,0.74,0.04,0.0,999.0,0.0,999.0,0.015,0.24,0.75,600.0,1.55,38.3
DEMO-08,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-08,DEMO-SEC-08,2026-09-08T07:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,23.4,66.9,167.13766885439907,267.4,200.5,307.5,427.8,45.2,22.3,2.26,0.573,0.18,22.5,6.6,3.69,1.36,44.0,23.2,1745.5,36.0,179.0,-0.0439,0.46,-0.24,0.0,999.0,0.0,999.0,0.015,0.76,0.75,600.0,0.7,94.3
DEMO-09,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-09,DEMO-SEC-09,2026-09-08T08:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,1.3,3.8,9.4181666859295,15.1,11.3,17.4,24.2,2.5,1.3,0.33,0.288,0.02,8.9,0.4,0.17,0.0,1.7,0.3,1405.9,27.1,227.6,-0.004,0.76,-0.01,0.0,999.0,0.0,999.0,0.015,0.44,0.75,600.0,1.7,18.3
DEMO-10,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-10,DEMO-SEC-10,2026-09-08T09:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,18.4,52.7,131.82466118206418,210.9,158.2,242.5,337.4,35.5,17.6,1.42,0.521,0.2,21.2,15.8,3.98,1.91,24.5,15.6,1708.3,34.2,122.8,-0.0664,0.58,-0.07,0.0,999.0,0.0,999.0,0.015,0.76,0.75,600.0,0.83,79.7
DEMO-11,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-11,DEMO-SEC-11,2026-09-08T10:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,0.8,2.4,6.051679907383448,9.7,7.3,11.2,15.5,1.6,0.8,0.36,0.361,0.03,8.3,0.0,0.37,0.01,0.9,0.3,1650.8,34.4,280.8,-0.003,0.67,-0.01,0.0,999.0,0.0,999.0,0.015,0.2,0.75,600.0,1.43,35.4
DEMO-12,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-12,DEMO-SEC-12,2026-09-08T11:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,20.7,59.1,147.68888565592485,236.3,177.2,271.7,378.1,39.9,19.7,1.02,0.526,0.16,27.7,9.2,4.0,1.29,26.3,24.5,821.8,43.9,233.9,0.0219,0.53,-0.14,0.0,999.0,0.0,999.0,0.015,0.8,0.75,600.0,0.83,75.9
DEMO-13,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-13,DEMO-SEC-13,2026-09-08T12:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,8.1,23.2,57.98302608651236,92.8,69.6,106.7,148.5,15.6,7.7,0.38,0.314,0.05,7.5,0.7,0.3,0.0,1.5,0.5,1397.6,25.9,8.8,-0.0025,0.69,0.05,0.0,999.0,0.0,999.0,0.015,0.35,0.75,600.0,1.52,16.8
DEMO-14,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-14,DEMO-SEC-14,2026-09-08T13:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,33.1,94.5,236.33203009480368,378.1,283.6,434.8,605.0,63.8,31.5,2.28,0.576,0.25,29.9,7.7,3.18,1.84,32.2,22.5,595.8,40.9,337.0,0.0035,0.51,-0.23,0.0,999.0,0.0,999.0,0.015,0.89,0.75,600.0,0.89,77.9
DEMO-15,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-15,DEMO-SEC-15,2026-09-08T14:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,6.3,18.1,45.30602316469242,72.5,54.4,83.4,116.0,12.2,6.0,0.32,0.326,0.04,4.2,0.7,0.2,0.04,2.0,0.0,1674.2,29.2,180.5,0.0158,0.78,0.03,0.0,999.0,0.0,999.0,0.015,0.4,0.75,600.0,1.73,40.3
DEMO-16,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-16,DEMO-SEC-16,2026-09-08T15:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,18.8,53.6,133.95365011764164,214.3,160.7,246.4,342.9,36.2,17.9,2.29,0.516,0.11,25.6,6.6,3.16,1.86,39.9,15.8,1542.8,37.8,45.7,-0.0173,0.55,-0.21,0.0,999.0,0.0,999.0,0.015,0.86,0.75,600.0,0.56,70.9
DEMO-17,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-17,DEMO-SEC-17,2026-09-08T16:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,6.6,18.9,47.195936691973,75.5,56.6,86.8,120.8,12.8,6.3,0.07,0.376,0.01,5.4,0.5,0.21,0.05,2.0,0.4,463.8,22.4,346.6,0.0203,0.79,0.01,0.0,999.0,0.0,999.0,0.015,0.43,0.75,600.0,1.38,25.4
DEMO-18,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-18,DEMO-SEC-18,2026-09-08T17:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,22.5,64.3,160.7927286640537,257.3,193.0,295.9,411.7,43.4,21.4,2.85,0.575,0.21,28.3,11.7,3.78,1.0,40.6,14.8,866.2,44.1,5.2,-0.0661,0.41,-0.24,0.0,999.0,0.0,999.0,0.015,0.82,0.75,600.0,0.72,76.2
DEMO-19,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-19,DEMO-SEC-19,2026-09-08T18:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,1.6,4.5,11.258121544150988,18.0,13.5,20.7,28.8,3.0,1.5,0.26,0.278,0.0,4.5,1.2,0.36,0.09,1.6,0.3,1257.5,29.0,308.3,-0.001,0.68,-0.02,0.0,999.0,0.0,999.0,0.015,0.34,0.75,600.0,1.23,23.1
DEMO-20,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-20,DEMO-SEC-20,2026-09-08T19:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,28.1,80.3,200.76170402865887,321.2,240.9,369.4,513.9,54.2,26.8,0.97,0.515,0.15,25.6,16.1,4.67,0.85,32.3,21.3,633.9,33.1,36.3,-0.0778,0.42,-0.11,0.0,999.0,0.0,999.0,0.015,0.77,0.75,600.0,0.93,92.6
DEMO-21,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-21,DEMO-SEC-21,2026-09-08T20:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,1.1,3.1,7.680713795407657,12.3,9.2,14.1,19.7,2.1,1.0,0.31,0.325,0.02,6.2,1.9,0.49,0.09,1.9,0.2,607.3,32.5,290.5,0.0389,0.73,0.01,0.0,999.0,0.0,999.0,0.015,0.46,0.75,600.0,1.72,19.9
DEMO-22,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-22,DEMO-SEC-22,2026-09-08T21:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,29.8,85.2,212.99971614931508,340.8,255.6,391.9,545.3,57.5,28.4,3.08,0.472,0.19,30.6,13.6,3.66,1.7,48.6,10.9,914.3,32.2,325.9,-0.069,0.46,-0.06,0.0,999.0,0.0,999.0,0.015,0.78,0.75,600.0,0.68,92.4
DEMO-23,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-23,DEMO-SEC-23,2026-09-08T22:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,6.1,17.5,43.713699645007495,69.9,52.4,80.4,111.8,11.8,5.8,0.3,0.335,0.03,7.4,0.2,0.44,0.01,0.3,0.4,1146.8,28.2,319.6,-0.0379,0.67,-0.01,0.0,999.0,0.0,999.0,0.015,0.23,0.75,600.0,1.52,12.0
DEMO-24,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],1,DEMO_FAILURE (y=1),DEMO-SCENARIO-24,DEMO-SEC-24,2026-09-08T23:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,30.9,88.2,220.4046065219392,352.6,264.5,405.5,564.2,59.5,29.4,2.67,0.545,0.18,19.1,11.1,2.7,2.61,54.5,7.2,1528.6,47.2,355.0,0.0104,0.48,-0.23,0.0,999.0,0.0,999.0,0.015,0.82,0.75,600.0,0.7,79.3
DEMO-25,QUARANTINED_DEMO_ONLY (PAHAD_DEMO_MODE=1),DEMO_QUARANTINED,[DEMO],0,DEMO_CONTROL (y=0),DEMO-SCENARIO-25,DEMO-SEC-25,2026-09-08T00:00:00Z,Simulated Regional Corridor,Synthetic Demonstration Sandbox,27.33,88.61,Synthetic Walkthrough Pipeline (Never in Operational Model),DEMO_ONLY,Synthetic Evaluator Inspection Walkthrough,demo_synthetic_cluster,6h,0.1,0.3,0.7379869098822395,1.2,0.9,1.4,1.9,0.2,0.1,0.39,0.284,0.0,1.9,1.9,0.11,0.0,0.4,0.4,1195.9,35.5,135.0,-0.0457,0.82,-0.0,0.0,999.0,0.0,999.0,0.015,0.38,0.75,600.0,1.62,36.1
